Bolagsnamn;Land;Lista;Sektor;Bransch;Ticker
Clinical Laserthermia;Sverige;First North;Hälsovård;Medicinsk Utrustning;CLS B
Jojka Communications;Sverige;Spotlight;Sällanköpsvaror;Marknadsföring;JOJK
Latvian Forest;Sverige;Spotlight;Material;Skogsbolag;LATF B
Medfield;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;MEDF
Net Gaming Europe;Sverige;First North;Sällanköpsvaror;Betting & Casino;NETG
TiksPac;Sverige;Spotlight;Industri;Energi & Återvinning;TIKS
Wonderful Times;Sverige;Spotlight;Sällanköpsvaror;Fritid & Sport;WTG
MediRätt;Sverige;First North;Hälsovård;Medicinsk Utrustning;MEDR B
Miris;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;MIR
Consensus;Sverige;Spotlight;Finans & Fastighet;Kapitalförvaltning;CAM B
SensoDetect;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;SDET
Cherry;Sverige;Mid Cap;Sällanköpsvaror;Betting & Casino;CHER B
HomeMaid;Sverige;Spotlight;Sällanköpsvaror;Konsumentservice;HOME B
IDL Biotech;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;IDL B
MedicPen;Sverige;Spotlight;Hälsovård;Hälsovård & Hjälpmedel;MPEN
NGS;Sverige;Small Cap;Industri;Bemanning;NGS
Transferator A;Sverige;Spotlight;Finans & Fastighet;Investmentbolag;TRAN A
Everysport Media;Sverige;Spotlight;Sällanköpsvaror;Marknadsföring;EVERY A
Exalt;Sverige;Spotlight;Telekommunikation;Telekomtjänster;EXALT
True Heading;Sverige;Spotlight;Industri;Affärskonsulter;TRUE B
Respiratorius;Sverige;Spotlight;Hälsovård;Biotech;RESP
Eurocine Vaccines;Sverige;Spotlight;Hälsovård;Biotech;EUCI
Future Gaming;Sverige;Spotlight;Sällanköpsvaror;Betting & Casino;FGG
WntResearch;Sverige;Spotlight;Hälsovård;Biotech;WNT
Vindico Security;Sverige;Spotlight;Informationsteknik;Säkerhet & Bevakning;VSEC
PharmaLundensis;Sverige;Spotlight;Hälsovård;Biotech;PHAL
Arbona B;Sverige;NGM;Finans & Fastighet;Investmentbolag;ARBO MTF B
Star Vault;Sverige;Spotlight;Sällanköpsvaror;Gaming & Spel;STVA B
Railcare;Sverige;Small Cap;Industri;Stödtjänster & Service;RAIL
NFO Drives;Sverige;Spotlight;Industri;Energi & Återvinning;NFO
Lovisagruvan;Sverige;Spotlight;Material;Gruv - Prospekt & Drift;LOVI
FX International;Sverige;Spotlight;Finans & Fastighet;Kapitalförvaltning;FXI
Genesis IT;Sverige;Spotlight;Informationsteknik;Affärs- & IT-System;GENE
Novus;Sverige;Spotlight;Sällanköpsvaror;Marknadsföring;NOVU
Arc Aroma Pure;Sverige;First North;Industri;Energi & Återvinning;AAP B
Taurus Energy;Sverige;Spotlight;Kraftförsörjning;Bioenergi;TAUR B
QuiaPEG;Sverige;Spotlight;Hälsovård;Läkemedel;QUIA
Parans Solar;Sverige;Spotlight;Kraftförsörjning;Solkraft;PARA
Micropos Medical;Sverige;Spotlight;Hälsovård;Medicinsk Utrustning;MPOS
Klick Data;Sverige;Spotlight;Industri;Utbildning;KLIC B
Senzime;Sverige;First North;Hälsovård;Medicinsk Utrustning;SEZI
Kopparbergs;Sverige;NGM;Dagligvaror;Bryggeri;KOBR MTF B
Crown Energy;Sverige;NGM;Energi;Olja & Gas - Exploatering;CRWN
Sotkamo Silver;Sverige;NGM;Material;Gruv - Guld & Silver;SOSI
Lifeassays;Sverige;NGM;Hälsovård;Medicinsk Utrustning;LIFE B
Sveriges Bostadsrättscentrum;Sverige;NGM;Finans & Fastighet;Fastighetsbolag;SBC
MedicaNatumin;Sverige;NGM;Dagligvaror;Hälsoprodukter;MEDNA MTF
LC-Tec;Sverige;NGM;Informationsteknik;Datorer & Hårdvara;LCT MTF
Glycorex Transplantation;Sverige;NGM;Hälsovård;Medicinsk Utrustning;GTAB B
AIK Fotboll;Sverige;NGM;Sällanköpsvaror;Fritid & Sport;AIK B
Paynova;Sverige;NGM;Informationsteknik;Betalning & E-handel;PAY
Guideline Geo;Sverige;NGM;Material;Gruv - Service;GGEO
Obducat;Sverige;NGM;Informationsteknik;Elektronik & Tillverkning;OBDU B
Metallvärden;Sverige;NGM;Industri;Energi & Återvinning;METV MTF
Advanced Stabilized Tech;Sverige;NGM;Informationsteknik;Kommunikation;ASTG MTF B
Hedera;Sverige;First North;Industri;Bemanning;HEGR
Briox;Sverige;NGM;Informationsteknik;Affärs- & IT-System;BRIX MTF
Free2Move;Sverige;NGM;Telekommunikation;Telekomtjänster;F2M MTF
