Dates;Destination;Group;Period;Price;Regio;Status;min_price
['08.05.2020', '19.05.2020'];Taipei;warme-reiseziele;2020-05;306,00 €;Asia;07.10.2019;296 €
['09.03.2020', '22.03.2020'];Taipei;fernreisen;2020-03;296,00 €;Asia;09.10.2019;296 €
['30.04.2020', '16.05.2020'];Taipei;warme-reiseziele;2020-04;306,00 €;Asia;09.10.2019;296 €
['09.03.2020', '22.03.2020'];Taipei;fernreisen;2020-03;297,00 €;Asia;18.10.2019;296 €
['28.02.2020', '26.03.2020'];Taipei;fernreisen;2020-02;297,00 €;Asia;19.10.2019;296 €
['28.02.2020', '26.03.2020'];Taipei;fernreisen;2020-02;297,00 €;Asia;04.10.2019;296 €
['30.04.2020', '16.05.2020'];Taipei;warme-reiseziele;2020-04;307,00 €;Asia;04.10.2019;296 €
['27.01.2020', '23.02.2020'];Taipei;fernreisen;2020-01;296,00 €;Asia;05.10.2019;296 €
['30.04.2020', '16.05.2020'];Taipei;warme-reiseziele;2020-04;307,00 €;Asia;05.10.2019;296 €
['02.03.2020', '12.03.2020'];Taipei;fernreisen;2020-03;296,00 €;Asia;06.10.2019;296 €
['30.04.2020', '16.05.2020'];Taipei;warme-reiseziele;2020-04;306,00 €;Asia;06.10.2019;296 €
['03.02.2020', '16.02.2020'];Taipei;fernreisen;2020-02;296,00 €;Asia;07.10.2019;296 €
['08.05.2020', '19.05.2020'];Taipei;warme-reiseziele;2020-05;306,00 €;Asia;07.10.2019;296 €
['09.03.2020', '22.03.2020'];Taipei;fernreisen;2020-03;296,00 €;Asia;09.10.2019;296 €
['30.04.2020', '16.05.2020'];Taipei;warme-reiseziele;2020-04;306,00 €;Asia;09.10.2019;296 €
['09.03.2020', '22.03.2020'];Taipei;fernreisen;2020-03;297,00 €;Asia;18.10.2019;296 €
['28.02.2020', '26.03.2020'];Taipei;fernreisen;2020-02;297,00 €;Asia;19.10.2019;296 €
['26.04.2020', '09.05.2020'];Taipei;warme-reiseziele;2020-04;296 €;Asia;2019-10-20;296 €
['02.12.2019', '15.12.2019'];Taipei;fernreisen;2019-12;296 €;Asia;2019-10-20;296 €
['26.04.2020', '24.05.2020'];Taipei;warme-reiseziele;2020-04;306 €;Asia;2019-10-22;296 €
['16.03.2020', '26.03.2020'];Taipei;fernreisen;2020-03;296 €;Asia;2019-10-22;296 €
['28.02.2020', '22.03.2020'];Taipei;fernreisen;2020-02;296 €;Asia;2019-10-26;296 €
['28.02.2020', '12.03.2020'];Taipei;fernreisen;2020-02;296 €;Asia;2019-10-26;296 €
['24.02.2020', '05.03.2020'];Taipei Songshan;fernreisen;2020-02;313,00 €;Asia;04.10.2019;304 €
['24.02.2020', '05.03.2020'];Taipei Songshan;fernreisen;2020-02;315,00 €;Asia;05.10.2019;304 €
['24.02.2020', '05.03.2020'];Taipei Songshan;fernreisen;2020-02;315,00 €;Asia;06.10.2019;304 €
['24.02.2020', '05.03.2020'];Taipei Songshan;fernreisen;2020-02;313,00 €;Asia;07.10.2019;304 €
['24.02.2020', '05.03.2020'];Taipei Songshan;fernreisen;2020-02;313,00 €;Asia;09.10.2019;304 €
['28.02.2020', '14.03.2020'];Taipei Songshan;fernreisen;2020-02;313,00 €;Asia;18.10.2019;304 €
['28.02.2020', '14.03.2020'];Taipei Songshan;fernreisen;2020-02;313,00 €;Asia;19.10.2019;304 €
['24.02.2020', '05.03.2020'];Taipei Songshan;fernreisen;2020-02;313,00 €;Asia;04.10.2019;304 €
['24.02.2020', '05.03.2020'];Taipei Songshan;fernreisen;2020-02;315,00 €;Asia;05.10.2019;304 €
['24.02.2020', '05.03.2020'];Taipei Songshan;fernreisen;2020-02;315,00 €;Asia;06.10.2019;304 €
['24.02.2020', '05.03.2020'];Taipei Songshan;fernreisen;2020-02;313,00 €;Asia;07.10.2019;304 €
