Destination;Dates;Price;Group;Period;Status;Regio;min_price
Lamezia Terme;['10.10.2019', '24.10.2019'];112,00 €;last-minute;2019-10;09.10.2019;Europe;108,00 €
Las Vegas;['21.04.2020', '28.04.2020'];312,00 €;fernreisen;2020-04;04.10.2019;USA;312,00 €
Las Vegas;['30.07.2020', '18.08.2020'];445,00 €;sommerferien;2020-07;04.10.2019;USA;312,00 €
Las Vegas;['21.04.2020', '28.04.2020'];312,00 €;fernreisen;2020-04;05.10.2019;USA;312,00 €
Las Vegas;['10.08.2020', '31.08.2020'];448,00 €;sommerferien;2020-08;05.10.2019;USA;312,00 €
Las Vegas;['10.03.2020', '17.03.2020'];314,00 €;fernreisen;2020-03;06.10.2019;USA;312,00 €
Las Vegas;['03.08.2020', '23.08.2020'];449,00 €;sommerferien;2020-08;06.10.2019;USA;312,00 €
Las Vegas;['05.11.2019', '19.11.2019'];314,00 €;fernreisen;2019-11;07.10.2019;USA;312,00 €
Las Vegas;['30.07.2020', '18.08.2020'];448,00 €;sommerferien;2020-07;07.10.2019;USA;312,00 €
Las Vegas;['21.10.2019', '27.10.2019'];356,00 €;last-minute;2019-10;07.10.2019;USA;312,00 €
Las Vegas;['05.11.2019', '19.11.2019'];314,00 €;fernreisen;2019-11;09.10.2019;USA;312,00 €
Las Vegas;['20.05.2020', '27.05.2020'];331,00 €;warme-reiseziele;2020-05;09.10.2019;USA;312,00 €
Las Vegas;['10.08.2020', '31.08.2020'];447,00 €;sommerferien;2020-08;09.10.2019;USA;312,00 €
Las Vegas;['22.10.2019', '29.10.2019'];340,00 €;last-minute;2019-10;09.10.2019;USA;312,00 €
Liberia Costa Rica;['08.08.2020', '22.08.2020'];657,00 €;sommerferien;2020-08;07.10.2019;Karibik;657,00 €
Liberia Costa Rica;['08.08.2020', '22.08.2020'];657,00 €;sommerferien;2020-08;09.10.2019;Karibik;657,00 €
Lissabon;['24.11.2019', '29.11.2019'];35,00 €;staedtereisen;2019-11;04.10.2019;Europe;101,00 €
Lissabon;['24.11.2019', '29.11.2019'];35,00 €;kurzurlaub;2019-11;04.10.2019;Europe;101,00 €
Lissabon;['12.06.2020', '22.06.2020'];123,00 €;warme-reiseziele;2020-06;04.10.2019;Europe;101,00 €
Lissabon;['20.08.2020', '04.09.2020'];141,00 €;sommerferien;2020-08;04.10.2019;Europe;101,00 €
Lissabon;['24.11.2019', '29.11.2019'];35,00 €;staedtereisen;2019-11;05.10.2019;Europe;101,00 €
Lissabon;['24.11.2019', '29.11.2019'];35,00 €;kurzurlaub;2019-11;05.10.2019;Europe;101,00 €
Lissabon;['05.08.2020', '12.08.2020'];106,00 €;warme-reiseziele;2020-08;05.10.2019;Europe;101,00 €
Lissabon;['05.08.2020', '12.08.2020'];106,00 €;sommerferien;2020-08;05.10.2019;Europe;101,00 €
Lissabon;['24.11.2019', '29.11.2019'];35,00 €;staedtereisen;2019-11;06.10.2019;Europe;101,00 €
